--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
117,Oh Jaehyeok,kr KOR,MFFW,Jeju United,24-067,2002,16,14,1211,13.5,2,2,4,2,0,0,3,0,0.15,0.15,0.30,0.15,0.30,Matches,48087cca
118,Go Jaehyeon,kr KOR,MF,Sangmu,27-175,1999,24,21,1668,18.5,6,2,8,6,0,0,2,0,0.32,0.11,0.43,0.32,0.43,Matches,09a163a6
119,Mo Jaehyeon,kr KOR,MF,Gangwon FC,29-337,1996,19,18,1562,17.4,2,4,6,2,0,1,3,0,0.12,0.23,0.35,0.12,0.35,Matches,f8833ba8
120,Kim Jaehyun,kr KOR,DF,FC Anyang,22-177,2004,7,5,444,4.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,db5fc63a
121,Lee Jaeik,kr KOR,DF,Ulsan HD,27-098,1999,21,16,1563,17.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,feeea28b
122,An Jaejun,kr KOR,MFFW,Pohang Steelers,25-146,2001,9,5,316,3.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,025cc566
123,Jeong Jaemin,kr KOR,FW,Sangmu,24-303,2001,12,6,459,5.1,0,2,2,0,0,0,0,0,0.00,0.39,0.39,0.00,0.39,Matches,28f9e82d
124,Seo Jaemin,kr KOR,MF,Incheon United,22-345,2003,24,24,2129,23.7,1,1,2,1,0,0,1,0,0.04,0.04,0.08,0.04,0.08,Matches,fadf572f
125,Jeong Jaesang,kr KOR,FW,Ulsan HD,22-094,2004,5,0,23,0.3,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,edcdc82f
126,Hong Jaeseok,kr KOR,DF,FC Anyang,23-055,2003,2,0,20,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5da4d929
127,Yoon Jaeseok,kr KOR,MF,Sangmu,22-309,2003,5,1,143,1.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,95cc4b1d
128,Lee Jaewon,kr KOR,DFMF,Bucheon FC,24-114,2002,4,3,275,3.1,0,1,1,0,0,0,1,0,0.00,0.33,0.33,0.00,0.33,Matches,4e189dd6
129,Shin Jaewon,kr KOR,MFDF,Bucheon FC,27-345,1998,13,8,727,8.1,1,0,1,1,0,0,2,0,0.12,0.00,0.12,0.12,0.12,Matches,085104e8
130,Park Janghangyeol,kr KOR,MF,FC Seoul,22-193,2004,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,378918bd
