--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,-9999
13,Darijan Bojanić,se SWE,MF,Ulsan HD,31-242,1994,14.5,0,3,1,33.3,0.21,0.07,0.00,0.00,0,0,Matches,aa09d373
14,Yeo Bong-hun,kr KOR,MFDF,Bucheon FC,32-168,1994,2.4,0,0,0,,0.00,0.00,,,0,0,Matches,afa33e07
15,Kim Bongsoo,kr KOR,MF,Daejeon Hana,26-244,1999,23.4,0,8,0,0.0,0.34,0.00,0.00,,0,0,Matches,76854562
16,Song Bum-keun,kr KOR,GK,Jeonbuk,28-316,1997,24.0,0,0,0,,0.00,0.00,,,0,0,Matches,2455c2d6
17,Choe Byeongchan,kr KOR,FW,Gangwon FC,30-145,1996,11.8,1,15,5,33.3,1.27,0.42,0.07,0.20,0,0,Matches,e739b04e
18,Jeon Byeonggwan,kr KOR,MF,Sangmu,23-290,2002,4.8,0,7,3,42.9,1.47,0.63,0.00,0.00,0,0,Matches,86746ccb
19,Choi Byeongwook,kr KOR,MFFW,Jeju United,21-138,2005,4.5,1,9,3,33.3,2.01,0.67,0.11,0.33,0,0,Matches,34a6c7d0
20,Yago Cariello,br BRA,FW,Ulsan HD,27-031,1999,12.7,11,35,17,48.6,2.75,1.34,0.31,0.65,1,1,Matches,ba15f491
21,Julien Celestine,fr FRA,DF,Jeju United,29-034,1997,22.3,2,13,3,23.1,0.58,0.13,0.15,0.67,0,0,Matches,3dd4379b
22,Park Chan-yong,kr KOR,DF,Pohang Steelers,30-212,1996,20.3,0,10,1,10.0,0.49,0.05,0.00,0.00,0,0,Matches,265cd8eb
23,Kwon Chang-hoon,kr KOR,MF,Jeju United,32-058,1994,9.1,0,15,1,6.7,1.65,0.11,0.00,0.00,0,0,Matches,7961f7aa
24,Lee Chang-keun,kr KOR,GK,Daejeon Hana,32-362,1993,25.0,0,0,0,,0.00,0.00,,,0,0,Matches,703a5565
25,Lee Chang-min,kr KOR,MF,Jeju United,32-219,1994,5.2,0,2,0,0.0,0.39,0.00,0.00,,0,0,Matches,90bce33a
26,Sin Chang-moo,kr KOR,MF,Gwangju FC,33-344,1992,10.1,3,8,2,25.0,0.79,0.20,0.38,1.50,1,1,Matches,033952ee
27,Ha Chang-rae,kr KOR,DF,Daejeon Hana,31-315,1994,9.5,2,3,2,66.7,0.32,0.21,0.67,1.00,0,0,Matches,84ce3617
28,Rim Chang-woo,kr KOR,DFMF,Jeju United,34-195,1992,4.3,0,3,0,0.0,0.70,0.00,0.00,,0,0,Matches,8de323e0
29,Lee Chang-yong,kr KOR,DF,FC Anyang,36-000,1990,17.2,1,6,1,16.7,0.35,0.06,0.17,1.00,0,0,Matches,3aa04ad0
30,Park Changjun,kr KOR,MFFW,Jeju United,29-247,1996,11.0,2,9,5,55.6,0.82,0.46,0.22,0.40,0,0,Matches,51dc505b
31,Lee Changwoo,kr KOR,MF,Pohang Steelers,20-168,2006,3.4,0,1,0,0.0,0.29,0.00,0.00,,0,0,Matches,61ffd835
32,Lee Chanouk,kr KOR,DF,Sangmu,23-205,2003,3.3,0,4,0,0.0,1.21,0.00,0.00,,0,0,Matches,9b46db4a
33,Park Cheolwoo,kr KOR,DF,Sangmu,28-310,1997,20.0,2,9,4,44.4,0.45,0.20,0.22,0.50,0,0,Matches,edbd81c9
34,Jung Chiin,kr KOR,MF,Incheon United,29-006,1997,5.3,0,2,1,50.0,0.38,0.19,0.00,0.00,0,0,Matches,efd8c074
35,Hong Chul,kr KOR,DF,Gangwon FC,35-344,1990,3.0,0,0,0,,0.00,0.00,,,0,0,Matches,c7de2245
36,Park Chung-hyo,kr KOR,GK,Gangwon FC,36-195,1990,24.0,0,0,0,,0.00,0.00,,,0,0,Matches,9c55d736
37,Lee Chung-yong,kr KOR,FWMF,Incheon United,38-056,1988,17.5,1,8,2,25.0,0.46,0.11,0.13,0.50,1,1,Matches,49b05a83
38,Lee Chunghyun,kr KOR,FW,Bucheon FC,18-349,2007,0.0,0,0,0,,0.00,0.00,,,0,0,Matches,9bca7c41
39,Andrea Compagno,it ITA,FW,Jeonbuk,30-127,1996,0.6,0,3,1,33.3,4.91,1.64,0.00,0.00,0,0,Matches,eb9bcb88
40,Kim Da-sol,kr KOR,GK,FC Anyang,37-235,1989,3.0,0,0,0,,0.00,0.00,,,0,0,Matches,00917f74
41,Kim Daewon,kr KOR,MFFW,Gangwon FC,29-198,1997,23.2,7,29,11,37.9,1.25,0.47,0.24,0.64,1,1,Matches,3edb252e
42,Diogo,br BRA,FW,Daejeon Hana,29-266,1996,10.3,3,20,5,25.0,1.94,0.48,0.15,0.60,0,0,Matches,4e365f70
43,Kim Dohyun,kr KOR,DF,Gangwon FC,22-107,2004,8.9,0,3,0,0.0,0.34,0.00,0.00,,0,0,Matches,3a8909ce
44,Lee Dong-gyeong,kr KOR,MFFW,Ulsan HD,28-341,1997,19.6,9,43,20,46.5,2.19,1.02,0.21,0.45,2,2,Matches,a6828876
45,Kim Dong-jin,kr KOR,DFMF,FC Anyang,33-242,1992,17.7,1,3,3,100.0,0.17,0.17,0.33,0.33,0,0,Matches,138bbc1f
46,Kim Dong-jun,kr KOR,GK,Jeju United,31-251,1994,25.0,0,0,0,,0.00,0.00,,,0,0,Matches,5c44f13c
47,Baek Dong-kyu,kr KOR,DF,Bucheon FC,35-089,1991,18.3,1,2,1,50.0,0.11,0.05,0.50,1.00,0,0,Matches,1473e57a
48,Kim Dongheon,kr KOR,GK,Incheon United,29-177,1997,19.1,0,0,0,,0.00,0.00,,,0,0,Matches,bfa412a7
49,Kim Donghwa,kr KOR,GK,Gwangju FC,23-112,2003,4.0,0,0,0,,0.00,0.00,,,0,0,Matches,56d14d24
50,Kim Donghyeon,kr KOR,FWMF,Bucheon FC,23-255,2002,4.4,0,2,0,0.0,0.45,0.00,0.00,,0,0,Matches,594fad7c
51,Kim Donghyun,kr KOR,MF,Gangwon FC,29-077,1997,4.7,2,5,2,40.0,1.07,0.43,0.40,1.00,0,0,Matches,999d1192
52,Kim Dongjin,kr KOR,MFDF,Pohang Steelers,23-028,2003,16.2,0,7,0,0.0,0.43,0.00,0.00,,0,0,Matches,ef38c606
53,Lee Dongjun,kr KOR,MF,Jeonbuk,29-207,1997,18.7,3,27,8,29.6,1.44,0.43,0.11,0.38,0,0,Matches,96d0b6f0
54,Lee Dongryul,kr KOR,MF,Incheon United,26-079,2000,11.7,3,16,4,25.0,1.37,0.34,0.19,0.75,0,0,Matches,4fb71185
